image_id,image_url,prompt
6419360,https://i.travelapi.com/hotels/1000000/120000/118200/118170/ec7328d2_b.jpg,"a hotel room with a bed, desk, chair, and television, room shot, hotel room, dreampool rooms, whole room, large room, furnished room, bed on the right, room, room interior, one large room, brightly lit room, bedroom interior, hotel, full room view, bed room, interior of room, a room, bedroom, commercial photo"
8133768,https://i.travelapi.com/hotels/7000000/6010000/6000100/6000034/c2b6ae84_b.jpg,"a bathroom with a sink and a mirror, interior of a bathroom, cozy bathhouse hidden in a cave, premium bathroom design, rustic throne room, bathroom, stone tile hallway, exquisitely designed throne room, sand - colored walls, made from old stone, stucco walls, roman bath, rustic stone cabin in horizon, spa, ancient roman style, bathtub with golden faucet"
6798095,https://i.travelapi.com/hotels/1000000/920000/920000/919941/28c086dd_b.jpg,"a bedroom with two beds and a television, other bedrooms can be seen, bed on the right, interior of a loft, bedroom interior, picture of an interior loft, inside of a bedroom, beds, inside old cabin, wide shot of a cabin interior, room interior, small bedroom, interior photograph, zillow interior, inside of a cabin, whole room"
6434237,https://i.travelapi.com/hotels/1000000/530000/523700/523689/3a4793c0_b.jpg,"a bedroom with a bed, television, and a chair, bedroom interior, window in room, bedroom, serene bedroom setting, dreampool rooms, inside of a bedroom, floor - to - ceiling windows, ceiling to floor windows, small bedroom, a sunny bedroom, natural light in room, cozy treehouse bedroom, dim bedroom, room mono window, whole room"
6388504,https://i.travelapi.com/hotels/1000000/530000/525700/525657/affe5e75_b.jpg,"a hotel room with a bed, desk, and television, mirror and glass surfaces, furnished room, interior design, round mirror on the wall, abstract mirrors, minimalist interior design, room interior, interior photography, interior design photography, hotel room, minimalist furniture, dreampool rooms, interior design details, with many mirrors, room shot, white marble interior photograph, modern gallery furniture"
7618388,https://i.travelapi.com/hotels/4000000/3820000/3815100/3815070/4552fe96_b.jpg,"a hotel room with a bed, microwave, and microwave, kitchenette and conferenceroom, hotel room, room interior, room shot, interior design details, interior photograph, hollywood standard, white marble interior photograph, brightly lit room, interior design, furnished room, room, a digital rendering, interior design photography, digital rendering, interior of room, bright lit interiors"
8169896,https://i.travelapi.com/hotels/7000000/6220000/6219600/6219593/83254013_b.jpg,"a bed in a room with a wallpapered wall, furnished room, photograph of 3d ios room, brightly lit pink room, bed room, comfortable atmosphere, small room, room, brightly lit room, cute room, cozy and peaceful atmosphere, girl's room, sublime-comfy-elegant ambience, ouchh and and innate studio, in small room"
3926657,https://traffickcam.com/images/2019/4/20180312_005754_SZYB5Y.jpg,"a bathroom with a toilet, sink and mirror, between two chairs over a toilet, premium bathroom design, interior of a bathroom, gaming chair as a toilet, top floor boss shit, the toilet is shiny, small room, bathroom, no two rooms are identical. 4k, exquisitely designed throne room, bed on the right, gaming toilet, dreampool rooms"
8192278,https://i.travelapi.com/hotels/3000000/2840000/2835800/2835751/1ff95836_b.jpg,"a living room with a couch and a television, sublime-comfy-elegant ambience, bedroom interior, cream - colored room, room interior, brightly lit blue room, blue and white colour scheme, dreampool rooms, other bedrooms can be seen, cream and blue color scheme, white bed, dim bedroom, large room, white and blue color scheme"
6672051,https://i.travelapi.com/hotels/2000000/1150000/1145200/1145195/c6e44ba8_b.jpg,"a hotel room with two beds and a television, bed on the right, dreampool rooms, room interior, photo still of interior, interior of room, other bedrooms can be seen, bedroom interior, interior photograph, large room, comfortable atmosphere, photograph of 3d ios room, whole room, motel, room, an interior of room, room shot, boudoir"
